Year,Temp (F),Precip (inches)
200212,21.1,3.1
200301,9.2,1.31
200302,12.2,2.66
200303,24.2,3.51
200304,35.7,1.92
200305,49.6,3.49
200306,61.2,3.27
200307,65.9,3.47
200308,66,3.53
200309,58.4,4.2
200310,44.6,7.93
200311,35.4,4.4
200312,23,6.33
200401,6.4,0.97
200402,18,1.44
200403,28.7,1.61
200404,39.6,3.41
200405,51.9,3.79
200406,57.5,2.77
200407,64.6,4.68
200408,64.6,6.38
200409,56.2,2.74
200410,45.5,2.46
200411,33.2,4.19
200412,19.1,4.36
200501,11.5,2.34
200502,19.6,2.53
200503,25,4.27
200504,41.1,7.3
200505,47.2,5.87
200506,63.2,3.44
200507,66.6,3.89
200508,65.5,4.44
200509,58.5,4.68
200510,47.2,11.26
200511,35.3,6.27
200512,21.3,5.3
200601,22.6,4.28
200602,19,2.51
200603,29,1.2
200604,42.3,2.35
200605,53.2,5.9
200606,63.3,7.39
200607,68.9,5.46
200608,61.7,3.84
200609,56.1,2.96
200610,44.9,7.85
200611,38.9,4.97
200612,27.8,2.94
200701,17.3,2.61
200702,11.6,2.06
200703,25.8,4.14
200704,37,6.48
200705,51.2,3.2
200706,61.1,3.05
200707,64.6,3.56
200708,63.5,4.14
200709,57.2,2.38
200710,49.6,4.85
200711,31.7,6.9
200712,18,4.26
200801,18.6,2.91
200802,18.5,5.36
200803,23.1,4.62
200804,41.5,4.24
200805,50,1.65
200806,61.2,6.16
200807,67.7,4.91
200808,63.1,5.41
200809,56.2,6.01
200810,44.2,4.09
200811,35,5.34
200812,20.2,5.32
200901,7.9,2.57
200902,18.9,2.65
200903,26.2,2.45
200904,41.9,3.97
200905,51.1,4.07
200906,58.7,6.7
200907,63,6.71
200908,66.1,3.98
200909,54.9,1.75
200910,41.2,5.53
200911,38.5,4.77
200912,21.9,4.31
201001,20.3,3.07
201002,24.6,2.67
201003,34.6,5.11
201004,44.9,2.82
201005,54.6,2.09
201006,60.8,5.54
201007,69.2,2.87
201008,65.2,2.33
201009,58.3,5.37
201010,45.2,5.93
201011,34.5,5.2
201012,23.4,6.31
201101,15.9,1.89
201102,16.2,2.95
201103,26.8,4.93
201104,39,4.75
201105,51.9,5.49
201106,60.2,4.06
201107,67.6,3.69
201108,64.8,7.44
201109,59,3.89
201110,47.6,4.97
201111,38.8,2.49
201112,26,3.49
201201,18.2,3.1
201202,21.4,1.76
201203,34.3,1.94
201204,42.2,4.14
201205,53.8,4.68
201206,60.2,7.58
201207,67.6,1.89
201208,67.4,4.29
201209,55.9,4.91
201210,48.2,6.69
201211,32.7,1.29
201212,24.4,5.11
201301,15.8,1.42
201302,20,3.06
201303,30.3,2.45
201304,39.1,1.98
201305,52.3,5.67
201306,60.8,6.55
201307,68.3,4.89
201308,63.7,4.6
201309,56.7,5.42
201310,47.3,1.7
201311,32.3,4.11
201312,17,3.76
201401,14.2,3.41
201402,15.7,2.85
201403,18.1,3.8
201404,38.7,3.44
201405,51.7,3.99
201406,61.6,4.58
201407,67.2,6.65
201408,64.4,3.34
201409,56.4,1.61
201410,48.5,6.2
201411,31.8,3.5
201412,26,6.08
201501,11.7,3.17
201502,5.2,1.74
201503,21.6,1.78
201504,37.8,3.08
201505,55.7,2.8
201506,57.5,5.79
201507,64.8,3.61
201508,67.2,3.9
201509,61.8,4.82
201510,43.2,4.73
201511,37,2.43
201512,31.2,5.31
201601,20.1,2.5
201602,21.9,4.74
201603,29.2,3.74
201604,37.3,2.53
201605,52.8,2.56
201606,60.5,3.41
201607,67,3.78
201608,66.6,4.15
201609,59.1,1.58
201610,46.9,3.98
201611,37.2,3.82
201612,20.5,4.57
201701,21.5,3.83
201702,20.6,3.11
201703,22.2,2.69
201704,42,4.11
201705,50.7,5.67
201706,61,3.73
201707,65.2,2.84
201708,63.3,2.45
201709,61.1,3.08
201710,52,7.17
201711,32.4,2.77
201712,16.4,3.87
201801,15,4.78
201802,22.7,3.02
201803,28.9,2.95
201804,36.5,4.65
201805,53.5,1.92
201806,59,3.69
201807,68.8,4.06
201808,68,3.78
201809,57.9,3.15
201810,41.9,4.48
201811,28.6,6.18
201812,20.4,3.79
201901,14.1,5.25
201902,16.3,2.87
201903,24.7,2.19
201904,38.8,5.37
201905,48.1,4.49
201906,59.5,4.69
201907,68.3,3.31
201908,64.5,4.8
201909,55.3,3.46
201910,46.1,5.73
201911,29.6,4.08
201912,22.8,3.75
202001,20.8,3.06
202002,20.1,2.85
202003,29.6,2.7
202004,37.7,4.17
202005,51.2,2.62
202006,62.5,2.29
202007,68.9,3.85
202008,65.6,2.81
202009,56.8,1
202010,44.7,6.12
202011,37,3.83
202012,27.2,5.33
202101,21.4,1.89
202102,18.5,2.9
202103,29.4,1.98
202104,43.2,3.24
202105,52.4,2.74
202106,64.9,2.22
202107,63.6,5.46
202108,68.2,2.66
202109,59,6.46
202110,50.2,3.78
202111,35.3,3.28
202112,24.4,3.15
202201,10.8,2.42
